cluster,name,album,album_id,artist,artist_id,id,popularity,duration_ms,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo,user
0.0,She's A Sweet One,"Calling All Blues - The Chief, Profile & USA Recordings 1957-1963",3WqFy7VvZvKmyFRGgAp6WZ,Junior Wells,78CBFzwo7wwNaaTYVP5btK,2Cg3GUkhjX96nO4p2WRlIa,50.0,181786.0,0.0542,0.713,1.0,0.202,1.0,0.705,-12.209,0.15,0.0265,0.483,122.863,Playlist
0.0,Too Much To Ask,Flicker (Deluxe),7ahctQBwcSxDdP0fRAPo2p,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,39jXnbACjiaiTwwhsr5sY5,77.0,223043.0,0.0397,0.178,1.0,0.13,0.0,0.509,-6.456,0.381,0.0,0.538,153.711,Playlist
0.0,Vingativa,Vingativa,5o28H7OZcQy5hQ2WrqqncZ,Marvin,2eZo9QaElCGetkocbfVcwY,5jp1vwd5AaECP4uh4YImiL,47.0,172852.0,0.101,0.964,0.0,0.0956,3.0,0.847,-2.551,0.0515,0.0,0.934,150.044,Playlist
0.0,Piensa En Mí,Sueño Y Realidad,3jVJ1fTyUxYdpzb8Pt9V6U,Grupo Mojado,28NFZuZbEm7yzMpv1q1Rb7,1xKP7GVLY33i5jmx1bB1Kk,69.0,177040.0,0.0581,0.748,1.0,0.0662,10.0,0.722,-8.906,0.307,0.0,0.537,80.08,Playlist
0.0,You Really Got Me,The Ultimate Collection,0OW9cVAZjWakByTLSGfrd2,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,4D0BiMiLN6z2x7Tq9BcqoT,14.0,133813.0,0.102,0.961,1.0,0.087,1.0,0.576,-3.95,0.192,0.0,0.963,137.331,Playlist
0.0,心に穴が空いた,エルマ,2jgZDVp8aoPDTAqxswhz9g,ヨルシカ,4UK2Lzi6fBfUi9rpDt6cik,0fFPF89LHrD2ziMbeLSxXy,58.0,264506.0,0.05,0.585,1.0,0.0723,6.0,0.599,-4.387,0.228,3.56e-05,0.939,99.97,Playlist
0.0,Rave Automotiva,Rave Automotiva,6dKLEunObO4PYVBx4aTXfR,Dj GBR,0IhzJFf4QBEz0ifqLwScKV,60j2RVDBVE4SktB8WhZdc4,57.0,156969.0,0.547,0.625,0.0,0.0865,10.0,0.882,-6.255,0.485,0.000107,0.495,132.04,Playlist
0.0,Riders on the Storm,L.A. Woman,7IKUTIc9UWuVngyGPtqNHS,The Doors,22WZ7M8sxp5THdruNY3gXt,14XWXWv5FoCbFzLksawpEe,75.0,434720.0,0.0283,0.716,0.0,0.11,11.0,0.549,-11.729,0.25,0.0138,0.722,103.885,Playlist
0.0,E O Samba Sambou,Sambas De Enredo Das Escolas De Samba 2019,66TEWcDCI9C2gO3HG89OCr,Bruno Ribas,6zoJRJpBDKVXWETMcMHvGP,5nI1e1xiadjqkFCFwh5sGx,27.0,266706.0,0.0539,0.758,1.0,0.0468,2.0,0.381,-8.972,0.0283,0.0,0.638,144.646,Playlist
2.0,Halleluya,Halleluya,4ZDbn99PxmBpj3UtcDXWWx,Johnny Drille,4f8vvLN5Rt3WszqOqVR9e9,1eiSkx4vQiHJ2tzMDDjL01,51.0,234493.0,0.0275,0.59,1.0,0.116,4.0,0.674,-7.77,0.669,0.0,0.522,96.974,Playlist
2.0,So Beautiful,RETRO,4SeP6ESUtWAfAXNKJPqt8N,Jungkey,6fTEkjuuZ3hH6fdeBxxbA2,1nErj9L8SBB0CeD2mE2gls,32.0,231167.0,0.0435,0.441,1.0,0.103,6.0,0.343,-7.597,0.754,0.0,0.417,179.305,Playlist
2.0,DUET,DUET,3O1hivMpqOIwLvgJRPF3OT,정창훈,76hgON4h6wyriolRU1V3lp,5ePyJpkl4QZYRPb4ba6lnS,39.0,229500.0,0.0476,0.312,0.0,0.215,9.0,0.635,-8.037,0.808,0.0,0.479,80.013,Playlist
2.0,Teu Charme,Teu Charme,0wOnCRfTgC9odZ3c4ZLNIz,Os Morenos,153Lu5Zmx36hPnRpaHV0zq,2K96QzDf2fC3vtaO3lJpCr,47.0,275066.0,0.0322,0.342,1.0,0.0882,7.0,0.616,-11.386,0.7,0.0,0.41,122.72,Playlist
3.0,The Passenger,A Million In Prizes: Iggy Pop Anthology (Edited Version),39vZUsVRUvo1l2HwR7Cfpg,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,6pkv89yzv9kw6Vxhz8nSIH,58.0,280826.0,0.0534,0.709,1.0,0.536,0.0,0.481,-3.439,0.0282,6.93e-06,0.922,134.785,Playlist
3.0,Bow Down,Breaking Down / Bow Down,4YkcsqjeL6s2Q2SVdURHjH,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,4U9BOwX61f1TCXdukPa2ub,5.0,242680.0,0.0525,0.372,1.0,0.707,0.0,0.426,-4.95,5.36e-05,6.54e-06,0.959,155.01,Playlist
3.0,Carrinho de Mão - Ao Vivo,Axé 90 Graus (Ao Vivo),6is9IQw7FwesYcecUDhSsD,Axé 90 Graus,6AQ3Ju0aclkVXTivkO1vFG,0UnRUTtnQfrM64usFXAAln,32.0,151786.0,0.0788,0.79,1.0,0.956,5.0,0.727,-7.338,0.264,1.95e-06,0.923,86.123,Playlist
3.0,Então Vou Avisar - Ao Vivo,Yasmin Santos Ao Vivo em São Paulo - EP 1,4wAvMLcd81H1Cze4WXQqPd,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,1idjI8gtxgHjy8KyZamY6o,71.0,187801.0,0.0939,0.433,1.0,0.855,9.0,0.534,-3.477,0.312,0.0,0.835,163.907,Playlist
5.0,Drone Bomb Me - Recorded at Spotify Studios NYC,Spotify Singles,32iqkyCIOKogzuExLw1WTQ,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,0yQUNTyGO1HHMvXY3TZh7t,51.0,232661.0,0.0467,0.418,0.0,0.361,11.0,0.523,-9.46,0.208,0.00597,0.727,137.016,Playlist
5.0,Pressure,Pressure,79oATNpeFHVc8BrtLQsBUh,Hownd,7HsTYGDFa5GstpsXZTO5Jz,255QJOhHK2r2379GaINMP3,43.0,220171.0,0.0772,0.181,0.0,0.11,4.0,0.564,-6.53,0.117,0.00057,0.731,85.086,Playlist
5.0,Fire,Fire,30n9vTAuxcLFJeG0P5lOD9,Fruition,4dDqxbEKfPN3RZYrGr36y8,3u74mqUGokRUze14qa3gY2,47.0,216084.0,0.0399,0.684,0.0,0.382,9.0,0.472,-5.919,0.12,0.000109,0.813,134.922,Playlist
